Term,Course Number,Course Title,Professor,Grade,Grade Count,Total Enrolled
202201,Anthropology 1031,Introduction to Anthropology,"Gordon, Kathleen E",A,18,61
202201,Anthropology 1031,Introduction to Anthropology,"Gordon, Kathleen E",B,25,61
202201,Anthropology 1031,Introduction to Anthropology,"Gordon, Kathleen E",C,11,61
202201,Anthropology 1031,Introduction to Anthropology,"Gordon, Kathleen E",D,2,61
202201,Anthropology 1031,Introduction to Anthropology,"Gordon, Kathleen E",F,5,61
202201,Anthropology 1031,Introduction to Anthropology,"Gordon, Kathleen E",A,13,56
202201,Anthropology 1031,Introduction to Anthropology,"Gordon, Kathleen E",B,32,56
202201,Anthropology 1031,Introduction to Anthropology,"Gordon, Kathleen E",C,10,56
202201,Anthropology 1031,Introduction to Anthropology,"Gordon, Kathleen E",D,1,56
202201,Anthropology 1031,Introduction to Anthropology,"Addison, Lincoln",A,17,50
202201,Anthropology 1031,Introduction to Anthropology,"Addison, Lincoln",B,22,50
202201,Anthropology 1031,Introduction to Anthropology,"Addison, Lincoln",C,8,50
202201,Anthropology 1031,Introduction to Anthropology,"Addison, Lincoln",F,3,50
202201,Anthropology 1031,Introduction to Anthropology,"Tytelman, Carolina",A,9,39
202201,Anthropology 1031,Introduction to Anthropology,"Tytelman, Carolina",B,21,39
202201,Anthropology 1031,Introduction to Anthropology,"Tytelman, Carolina",C,7,39
202201,Anthropology 1031,Introduction to Anthropology,"Tytelman, Carolina",D,1,39
202201,Anthropology 1031,Introduction to Anthropology,"Tytelman, Carolina",F,1,39
202201,Anthropology 1031,Introduction to Anthropology,"Jean, Sandrine",A,64,76
202201,Anthropology 1031,Introduction to Anthropology,"Jean, Sandrine",B,10,76
202201,Anthropology 1031,Introduction to Anthropology,"Jean, Sandrine",C,1,76
202201,Anthropology 1031,Introduction to Anthropology,"Jean, Sandrine",D,1,76
202201,Anthropology 1031,Introduction to Anthropology,"Jean, Sandrine",A,59,85
202201,Anthropology 1031,Introduction to Anthropology,"Jean, Sandrine",B,21,85
202201,Anthropology 1031,Introduction to Anthropology,"Jean, Sandrine",C,2,85
202201,Anthropology 1031,Introduction to Anthropology,"Jean, Sandrine",D,1,85
202201,Anthropology 1031,Introduction to Anthropology,"Jean, Sandrine",F,2,85
202201,Anthropology 2260,War & Aggression,"Walsh, Vincent Stephen",A,7,79
202201,Anthropology 2260,War & Aggression,"Walsh, Vincent Stephen",B,50,79
202201,Anthropology 2260,War & Aggression,"Walsh, Vincent Stephen",C,10,79
202201,Anthropology 2260,War & Aggression,"Walsh, Vincent Stephen",D,2,79
202201,Anthropology 2260,War & Aggression,"Walsh, Vincent Stephen",F,10,79
202201,Anthropology 2411,Anthropologists In Field,"Whitaker, Robin",A,13,31
202201,Anthropology 2411,Anthropologists In Field,"Whitaker, Robin",B,14,31
202201,Anthropology 2411,Anthropologists In Field,"Whitaker, Robin",C,3,31
202201,Anthropology 2411,Anthropologists In Field,"Whitaker, Robin",F,1,31
202201,Anthropology 2411,Anthropologists In Field,"Tytelman, Carolina",A,,
202201,Anthropology 2411,Anthropologists In Field,"Tytelman, Carolina",B,,
202201,Anthropology 2412,Threatened Peoples,"Boltokova, Daria",A,11,58
202201,Anthropology 2412,Threatened Peoples,"Boltokova, Daria",B,27,58
202201,Anthropology 2412,Threatened Peoples,"Boltokova, Daria",C,11,58
202201,Anthropology 2412,Threatened Peoples,"Boltokova, Daria",D,4,58
202201,Anthropology 2412,Threatened Peoples,"Boltokova, Daria",F,3,58
202201,Anthropology 2414,Indigenous Peoples North Amer,"Boltokova, Daria",A,11,28
202201,Anthropology 2414,Indigenous Peoples North Amer,"Boltokova, Daria",B,13,28
202201,Anthropology 2414,Indigenous Peoples North Amer,"Boltokova, Daria",C,3,28
202201,Anthropology 2414,Indigenous Peoples North Amer,"Boltokova, Daria",F,1,28
202201,Anthropology 3053,Anthropology Of Religion,"Tytelman, Carolina",A,,
202201,Anthropology 3300,Fieldwork Methods,"Gordon, Kathleen E",A,,
202201,Anthropology 3300,Fieldwork Methods,"Gordon, Kathleen E",B,,
202201,Anthropology 3410,Classic Theory in Anthropology,"Clark, J Rex",A,8,16
202201,Anthropology 3410,Classic Theory in Anthropology,"Clark, J Rex",B,5,16
202201,Anthropology 3410,Classic Theory in Anthropology,"Clark, J Rex",C,3,16
202201,Anthropology 3630,New Media Mthds Soc Rsch,"Crocker, Steve",B,7,13
202201,Anthropology 3630,New Media Mthds Soc Rsch,"Crocker, Steve",C,2,13
202201,Anthropology 3630,New Media Mthds Soc Rsch,"Crocker, Steve",F,3,13
202201,Anthropology 4071,Soc&Cult Aspct Hith&llln,"Tenkorang, Eric Y",A,,
202201,Anthropology 4071,Soc&Cult Aspct Hith&llln,"Tenkorang, Eric Y",B,,
202201,Anthropology 4416,Anthropology of Slums,"Clark, J Rex",A,7,11
202201,Anthropology 4416,Anthropology of Slums,"Clark, J Rex",B,1,11
202201,Anthropology 4416,Anthropology of Slums,"Clark, J Rex",C,2,11
202201,Anthropology 4416,Anthropology of Slums,"Clark, J Rex",F,1,11
202201,Anthropology 4422,Craft/Wrtng Anthro Nrrtv,"Whitaker, Robin",A,,
202201,Anthropology 4422,Craft/Wrtng Anthro Nrrtv,"Whitaker, Robin",B,,
202201,Anthropology 4422,Craft/Wrtng Anthro Nrrtv,"Whitaker, Robin",C,,
202201,Archaeology 1000,Introduction to Archaeology,"Ledger, Paul",A,38,73
202201,Archaeology 1000,Introduction to Archaeology,"Ledger, Paul",B,24,73
202201,Archaeology 1000,Introduction to Archaeology,"Ledger, Paul",C,5,73
202201,Archaeology 1000,Introduction to Archaeology,"Ledger, Paul",F,6,73
202201,Archaeology 1000,Introduction to Archaeology,"Forbes, Veronique",A,39,77
202201,Archaeology 1000,Introduction to Archaeology,"Forbes, Veronique",B,21,77
202201,Archaeology 1000,Introduction to Archaeology,"Forbes, Veronique",C,4,77
202201,Archaeology 1000,Introduction to Archaeology,"Forbes, Veronique",D,7,77
202201,Archaeology 1000,Introduction to Archaeology,"Forbes, Veronique",F,6,77
202201,Archaeology 1005,CRW Indigenous Studies Van Den,"Scott, Jeffrey Donald",A,6,15
202201,Archaeology 1005,CRW Indigenous Studies Van Den,"Scott, Jeffrey Donald",B,4,15
202201,Archaeology 1005,CRW Indigenous Studies Van Den,"Scott, Jeffrey Donald",D,2,15
202201,Archaeology 1005,CRW Indigenous Studies Van Den,"Scott, Jeffrey Donald",F,3,15
202201,Archaeology 1005,CRW Indigenous Studies Van Den,"Scott, Jeffrey Donald",A,5,14
202201,Archaeology 1005,CRW Indigenous Studies Van Den,"Scott, Jeffrey Donald",B,5,14
202201,Archaeology 1005,CRW Indigenous Studies Van Den,"Scott, Jeffrey Donald",C,,
202201,Archaeology 1005,CRW Indigenous Studies,"Butler, Kelly Anne",A,7,22
202201,Archaeology 1005,CRW Indigenous Studies,"Butler, Kelly Anne",B,8,22
202201,Archaeology 1005,CRW Indigenous Studies,"Butler, Kelly Anne",C,3,22
202201,Archaeology 1005,CRW Indigenous Studies,"Butler, Kelly Anne",D,1,22
202201,Archaeology 1005,CRW Indigenous Studies,"Butler, Kelly Anne",F,3,22
202201,Archaeology 1005,CRW Indigenous Studies,"Huebert, Gladdale A",A,13,20
202201,Archaeology 1005,CRW Indigenous Studies,"Huebert, Gladdale A",B,4,20
202201,Archaeology 1005,CRW Indigenous Studies,"Huebert, Gladdale A",C,2,20
202201,Archaeology 1005,CRW Indigenous Studies,"Huebert, Gladdale A",F,1,20
202201,Archaeology 1005,CRW Indigenous Studies,"Huebert, Gladdale A",A,3,14
202201,Archaeology 1005,CRW Indigenous Studies,"Huebert, Gladdale A",B,4,14
202201,Archaeology 1005,CRW Indigenous Studies,"Huebert, Gladdale A",C,1,14
202201,Archaeology 1005,CRW Indigenous Studies,"Huebert, Gladdale A",F,6,14
202201,Archaeology 1005,CRW Indigenous Studies,"Butler, Kelly Anne",A,3,14
202201,Archaeology 1005,CRW Indigenous Studies,"Butler, Kelly Anne",B,5,14
202201,Archaeology 1005,CRW Indigenous Studies,"Butler, Kelly Anne",D,1,14
202201,Archaeology 1005,CRW Indigenous Studies,"Butler, Kelly Anne",F,4,14
202201,Archaeology 2430,Principles of Bioarchaeology,"Grimes, Vaughan",A,25,32
202201,Archaeology 2430,Principles of Bioarchaeology,"Grimes, Vaughan",B,1,32
202201,Archaeology 2430,Principles of Bioarchaeology,"Grimes, Vaughan",C,3,32
202201,Archaeology 2430,Principles of Bioarchaeology,"Grimes, Vaughan",D,1,32
202201,Archaeology 2430,Principles of Bioarchaeology,"Grimes, Vaughan",F,2,32
202201,Archaeology 2480,Principles of Archaeology,"Neilsen, Scott",A,9,28
202201,Archaeology 2480,Principles of Archaeology,"Neilsen, Scott",B,12,28
