Term,Course Number,Course Title,Professor,Grade,Grade Count,Total Enrolled
202203,Applied Literary Arts 6500,Internship,"Ganz, Shoshannah",PASS,,
202203,Applied Literary Arts 6501,Major Research Project,"Beardsworth, Adam",A,,
202203,Biochemistry 6400,Ctrl Intermediary Metabolism,"Cheema, Sukhinder Kaur",A,,
202203,Biochemistry 6460,Structural Biochemistry,"Park, Jaeok",A,,
202203,_—iBiology 7946,Fld samp app & appli stat phil,"Purchase, Craig",A,,
202203,Boreal Ecosystems & Agri. Sci. 6058,SpTpcs Intro to Life Cycle Ast,"Shetranjiwalla, Shegufta",A,,
202203,Boreal Ecosystems & Agri. Sci. 6058,SpTpcs Intro to Life Cycle Ast,"Shetranjiwalla, Shegufta",B,,
202203,Business Administration 8103,Statcl Application Mngmt,"Sulsky, Lorne",A,11,25
202203,Business Administration 8103,Statcl Application Mngmt,"Sulsky, Lorne",B,14,25
202203,Business Administration 8108,Economics for Business,"Jain, Manu",A,6,28
202203,Business Administration 8108,Economics for Business,"Jain, Manu",B,22,28
202203,Business Administration 8109,Accounting for Management,"Coady, Peggy Ann",A,17,57
202203,Business Administration 8109,Accounting for Management,"Coady, Peggy Ann",B,31,57
202203,Business Administration 8109,Accounting for Management,"Coady, Peggy Ann",C,6,57
202203,Business Administration 8109,Accounting for Management,"Coady, Peggy Ann",D,3,57
202203,Business Administration 8204,Human Resource Mngmnt,"Sulsky, Lorne",A,9,21
202203,Business Administration 8204,Human Resource Mngmnt,"Sulsky, Lorne",B,10,21
202203,Business Administration 8204,Human Resource Mngmnt,"Sulsky, Lorne",C,1,21
202203,Business Administration 8204,Human Resource Mngmnt,"Sulsky, Lorne",D,1,21
202203,Business Administration 8209,Ldrshp & Intrprsnl Skills Mngr,"Tucker, David",A,37,39
202203,Business Administration 8209,Ldrshp & Intrprsnl Skills Mngr,"Tucker, David",B,2,39
202203,Business Administration 8518,Reflections,"Shannahan, Rachelle",PASS,17,18
202203,Business Administration 9020,International Human Res Mngmnt,"Saha, Sudhir",A,12,25
202203,Business Administration 9020,International Human Res Mngmnt,"Saha, Sudhir",B,10,25
202203,Business Administration 9020,International Human Res Mngmnt,"Saha, Sudhir",C,2,25
202203,Business Administration 9032,Digital & Soc Media Marketing,"Wetsch, Lyle",A,13,21
202203,Business Administration 9032,Digital & Soc Media Marketing,"Wetsch, Lyle",B,8,21
202203,Business Administration 9040,Business Sustainability,"Cooper, Thomas",A,25,28
202203,Business Administration 9040,Business Sustainability,"Cooper, Thomas",B,3,28
202203,Business Administration 9317,Current Topics Managemnt,"Hossain, Ashrafee T.",A,,
202203,Business Administration 9322,Strategic Mngmnt Tech&lnnovat,"Eghbali-Zarch, Majid",A,12,13
202203,Business Administration 9322,Strategic Mngmnt Tech&lnnovat,"Eghbali-Zarch, Majid",B,1,13
202203,Business Administration 9935,Sp Tps in General Mgmt III,"Hossain, Ashrafee T.",A,,
202203,Chemistry 6153,Tech Sampling Trace Anal&Chemo,"Bottaro, Christina",A,,
202203,Computer Science 6999,Master's Project,"Meruvia-Pastor, Oscar",A,13,15
202203,Computer Science 6999,Master's Project,"Meruvia-Pastor, Oscar",B,1,15
202203,Data Science 6650,Reinforcement Learning,"Shestopaloff, Alex",A,14,17
202203,Data Science 6650,Reinforcement Learning,"Shestopaloff, Alex",B,3,17
202203,__ Earth Sciences 6905,Adv Field Std Res Sed/Strat,"Mcilroy, Duncan",A,,
202203,Education 6100,Rsrch Dsgn & Mthd/Educ,"Coombs, Andrew James",A,15,15
202203,Education 6100,Rsrch Dsgn & Mthd/Educ,"Kelly, Robert",A,12,16
202203,Education 6100,Rsrch Dsgn & Mthd/Educ,"Kelly, Robert",B,4,16
202203,Education 6100,Rsrch Dsgn & Mthd/Educ,"White, Gerald Joseph",A,15,16
202203,Education 6100,Rsrch Dsgn & Mthd/Educ,"White, Gerald Joseph",B,1,16
202203,Education 6100,Rsrch Dsgn & Mthd/Educ,"Krenca, Klaudia",A,13,20
